ID,question
18,un peu de renseignements sur acomplia. j'ai pris mon 1er cachet ce matin.  avez vous eu des effets indésirables?
19,oroken quels risques ??
20,peut on prendre millepertuis et fleurs de bach en meme temps?
21,quand on termine sa plaquette peut on avoir des raports sexuels ?
22,Quelle est la durée de conservation du Tégrétol?
23,est ce que la pilule trimordiol fais grossir?
24,"pendant les 7 jours sans prise une fois la plaquette de 21pilules terminée, est-on toujours protégée ou non pendant cette semaine ?"
25,percutafeine peut-il être utiliser par les hommes ?
26,patch evra commencé à j+4 donc est ce que je ne suis pas protégée pdt 1 mois?
27,combien prendre de temesta ?
28,deroxat est un anxiolytique ou un antidépresseur ?
29,"bonjour, depuis presque un an je suis sous effexor.on m'a prescrit du xanax en cas de crise d'angoisse car j'en ai fait 2 ou 3.mais voila depuis 4 jours je suis angoissée du matin au soir et cela sans raison apparente.je ne peux presque plus rien avaler tellement je suis nouée alors que d'habitude je mange comme une vache.la moindre chose à faire me semble insurmontable et me provoque des malaises..je ne sais plus quoi faire.je prends un xanax par jour alors que mon medecin me l'avait prescrit pour les crises.malgré le xanax je suis mega angoissée non stoptout mon entourage l'a remarqué et mes collègues me croient enceinte.j'ai peur de devenir completemment agoraphobe.de plus mon medecin est en vacances et je ne sais meme pas si passer à 2 xanax serait dangereux.savez vous combien de temps peut durer ce type de crise?quels sont les risques? je vois une psychlogue depuis ma premiere crise donc presque un an. merci de vos lumieres.."
30,"Une maman reçoit la prescription de Montelukast 4mg Arrow granulés pour son bébé de 5 mois, elle demande si cette forme est adaptée alors que son bébé ne mange pas encore solide ?"
31,La lidocaïne aide-t-elle à maigrir ?
32,"je suis sensée prendre 600mg, mais hier, j'ai pris un 300. après l'avoir pris, à chaque fois que j'étais sur le point de m'endormir, jentendais plein de voix qui venaient de partout : est-ce possible que ces hallucinations soient du à l'irrégularité de la prise du traitement ?"
33,Quels sont les effets secondaires du millepertuis ?
34,je viens de commencer le traitement cystine b6 depuis 3 jours et j'ai des gaz que puis-je faire ?
35,ou se procurer la vitamine c4?
36,La Clomipramine peut elle provoquer des bouffées de chaleur
37,L'euphytose est urtile pour l'anxiété ?
38,"le medecin spécialiste gastro m'a préscrit lansoprazole. mon médecin traitant m'a préscit olmetec 20 mg pour hypertension, et depuis qiue je les prends ensemble une réaction se forme. des petits points rouges très demengeant et ambetant sont apparus sur ma quisse droite. j'ai arreté l'olmetec , mais les points ne sont pas encore partis après 3 jours.. que faire ou prendre ?"
39,oscillococcinum ==> grippe aviaire .. ?!?
40,complément alimentaire de fer naturel ça existe?
41,"je prend la pilule trinordiol et j'avais oublier une pilule, or, j'ai eu un rapport non protégé. je n'ai pas pris celle que j'avais oublier et j'ai repris ma dernière pilule normalement. es qu'il y aurait risque d'etre enceinte ?"
42,risperdal ?? (neuroleptique)
43,risque de grossese multiple vec clomid +risque de filles ?
44,j'ai des fortes brulures d'estomac. je prends du rennie et ça ne me fait rien..  connaissez-vous un reméde plus  éfficace ?
45,je suis sous lovenox 0.4  et ce médicament est en rupture. avez-vous des info quant à sa disponibilité?
46,"J'aimerais connaitre les zones exactes d'application de l'ESTREVA® 0,1 %, gel ?"
47,famille de médicament de xanax et nordaz ?
48,A quoi sert le risperdal?
49,urbanyl?
50,savez vous combien de temps agit les effets du lysanxia?
51,est ce dangereux si je depasse la dose du sirop pour le rhume?
52,"bonjour,  j'ai un problème un peu particulier.  j'ai pris ma première pilule (jasminelle) vendredi dernier. je l'ai prise à 19h30, et mes règles avaient commencé dans la nuit de jeudi à vendredi (entre 22h et minuit).  je voudrais savoir si ma pilule est déjà efficace, ou si j'ai pris ma 1ere pilule trop tard pour qu'elle coincide avec le premier jour de mes regles, car je viens d'avoir un rapport sexuel au cours duquel le préservatif a craqué..    que me conseillez vous ? ai je des risques de grossesse? serait-il judicieux que je prenne la pilule du lendemain ?  merci d'avance.  lucile."
53,atarax pour les crise d'angoisse?
54,méthotrexate : origine des composants??
55,"j'ai commencé mélodia.  je voulais savoir si je suis protégé, dès la première prise ?"
56,"le prix du générique lisinopril 20mg est passé subitement de 12,39€ à 13,25€ , est ce normal?"
57,cefpodoxime est une quinolone?
58,je viens de reprendre trinordiol à 12h45. d'habitude je la prends vers 12h30.il me semble avoir compris qu'il fallait la reprendre à la même heure après les 7 jours d'arrêt! y aura-t-il un risque??
59,Peut on couper les comprimés de seropram ?
60,j'aimerais reprendre la pilule jasmine mais j'ai tellement peur de reprendre du poids !! quelle pilule est censer ne pas faire prendre de poids ?
61,abilify? sur quoi agit il? sur quels recepteurs?
62,effexor 75 + 2 x 100 mg surmontil par jour .qu'en pensez-vous ?
63,ma mère qui a  des oeudèmes au pieds cheville et plante des pieds s'est vu prescrire amlor et ténoretic. combien de temps avant que cela ne partent ?
64,xanax ou valium sans ordonnance ?
65,À quel moment se prend le novonorm?
66,Combien de temps faut -il pour qu'on ressente l'augmentation de dose du valium?
67,"bonjour, je prends effexor depuis une semaine et demi, je suis aussi très enrhumée, et fatiguée, voir ""abrutie"" surtout l'après midi. j'ai du mal à savoir si c'est du au médicament, mais j'ai l'impression. est-ce un symptome fréquent et et surtout est-ce que ça passe?? par contre j'ai l'impression d'avoir été beaucoup moins déprimée dès le premier jour, j'ai même peur de perdre mes émotions, cela est il possible?? quelqu'un pourrait m'aider?"
68,stérogyl seulement pour les adutles ?
69,"bonjour,  je suis en train de prendre une pillule qui s'ppelle daily gé. il y a un probleme c'est que mes sein sont toujours gonflés et ca me fait mal. mon medecin m'a prescris jasminelle mais il parait qu'il est possible d'avoir des saignement en la prennant? a quoi ca sert alors? et est ce que mes sein vont redevenir normaux? parce uqe ca fait vraiment mal.. merci beaucoup"
70,"Solian m'assome, est ce normal ?"
71,enceinte et vaccin grippe a??
72,je suis sous deroxat et je souffre de secheresse oculaire. est ce courant ?
73,"quelqu'un a-t-il eu, même au tout début de jasmine, une énorme poussée d'acné??"
74,"Je prenais la pilule ludéal gé depuis près de 8 ans, j'ai récemment changée pour leeloo mais aujourd'hui j'ai des symptômes de nervosité, dépression, graisse abdominal et nausées. Que pensez-vous de tout ca?"
75,je souhaiterais savoir quel est le prix du vermifuge humain ?
76,"Je prends jasmine, j'ai des règles bizarres. Est ce que habituel avec ce médicament?"
77,Y a-t-il des médicaments contre l'agoraphobie ?
78,oubli de pilule microval + relation le soir de l'oubli ?
79,help! dépendance ixprim?
80,par quoi puis je remplacer engerix?
81,une copine souffre d'une épine calcanéenne depuis octobre. connaissez-vous des traitements qui marchent ?
82,"y a t il un medicament qui peu m aider a calmer l' anxieté , car le prozac ne calme pas vraiment ?"
83,arret du mepronizine : quels effets ??
84,puis-je arrêter microval au cours de ma plaquette?
85,malade avec le méthotrexate ?
86,quelle creme pour mycose génital puis-je avoir en pharmacie sans ordonnance?
87,On peut porter un patch evra en continu ?
88,L'efferalgan est il compatible avec la grossesse ?
89,j'aimerais savoir les vertus du millepertuis. favorise-t-il la mémoire?
90,"bonjour, je me suis réveillée dimanche matin avec de l'urticaire sur les jambes et un peu sur les bras.. je suis allée voir mon médecin hier, il en a déduit que c'était une allergie au stresam (j'ai arrêté mon traitement dès dimanche matin) et m'a prescrit poralamine. j'en ai pris 2 hier soir mais en me levant ce matin, j'ai vu que j'avais à présent de l'urticaire sur le décolleté et sur les bras et les mains. c'est bien moins important que sur les jambes mais quand même! je m'inquiète : est-ce normal que l'urticaire continue de ""monter"" malgré le poralamine? dois-je craindre un oedème de quincke? merci"
91,"je voudrai savoir si bétaserc, serc et lectil ont la même molécule ?"
92,qu'est-ce que le primperan ?
93,quel medicament me conseillez vous pour les nausees?
94,aspégic nourrisson epaissit-il l'endometre ?
95,j'aimerais bien faire un cure de charbon vegetale. mais il parait que le chabon absorbe tout les medicamment il en anule donc l'efficacite meme pour la pilule!! j'aimerais savoir si cela est vrai?
96,"Un quart d'heure après avoir prix mes granules,du gluconate de cuivre et des gouttes de sillice colloïdale, j'ai des palpitations et me sent mal, qu'est-ce ?"
97,"J'ai des saignements avec ma pilule Melodia que je prends depuis 1 an. Je ne suis qu'au mileu de ma plaquette, est-ce normal?"
98,Peut-on prescrire Zoely en tant que contraception ?
99,est ce qu'on peut prendre skenan et doliprane en même temps?
100,c est possible d avoire les seins  gonfle avec milena ?
101,Varnoline provoque t-elle des vertiges?
102,Quelle est la dose optimale de dexorat ?
103,stilnox entraine-t-il des cauchemars ?
104,vous prennez combien de mg du seroquel?
105,prozac + bromazepam quel effet ?
106,Peut-on prescrire le Dapis stick boiron à la femme enceinte ?
107,"je souffre de colopathie fonctionnelle et il s'avère que la seule chose qui me fasse réellement du bien soit les anxiolytiques. malheureusement je suis aussi atteint d'une hépatite c et n'ai donc pas droit à ce type de médicament, y a-t-il une solution ?"
108,haldol + parkinane = quels effets secondaires ??
109,saignements sous méliane ?
110,surdosage tricelest ? Quel danger ?
111,"j'ai utilisé l'elavil, le naxproxen a petites doses pour des problèmes de dos. avec le celebrex c'était beaucoup de spasme dans le haut du dos, entre les côtes. le problème de dos à dégénéré en problèmes d'anxiété et je prends en ce moment du rivotril au soir et au couché et du desyrel aussi au coucheé. toujours ses courbatures, bien sûr elle passe facilement au levée, je crois que c'est les médicaments, mais j'en ai pas la certitude. Que faire?"
112,Quinolone et soleil ?
113,"je prend depuis 1 an la pillule ludeal gé à 9h30 du matin mais ce matin j'ai oublié de prendre ma pillule et je viens de la prendre dc en catastrophe à 21h41, y a t il un quelconque risque ?"
114,je prend varnoline ou du moins son générique qi s'appelle desogestrel/ethinilestradiol.  a la pharmacie on m'a redonné la générique comme dab même composition tout. mais la boite n'a pas le même design et le fabricant n'est pas le même. dois je m'inquiéter ?
115,Connaissez-vous un équivalent au pansement opsite post opératoire?
116,est-il préférable de le prendre le matin ou le soir?
117,"A-t-on le droit de laisser migralgine/prontalgine derrière le comptoir, sur les étagères, bien visible des patients ?"
118,"je prends diane 35, depuis 3 mois je deprime pour un rien. Y a t-il un rapport?"
119,polygynax chez patiente sous aldara ?
120,celebrex existe en quels dosages ?
121,"Mal aux muscles et aux os après avoir pris du solupred, est-ce normal ?"
122,magnesia phosphorica regles très douleureuses?
123,Dans quel cas le ginseng est il utile ?
124,trinordiol + grossesse ?
125,je prends melodia depuis 2 ans et là j'ai ce qui ressemble à des règles qui arrivent en milieu de cycle. suis-je toujours protégée contre une éventuelle grossesse?
126,pillule diane 35 : elle marche dès la première plaquette et pas après 4 mois ou plus?
127,Quelle alternative à cialis ?
128,deroxat ??
129,"oubli androcur, conseils?"
130,"je prends la pilule triafémi. quand on oublie un comprimé avec une triphasique, est-ce que ça se passe comme avec une monophasique. je veux dire, même avec différents dosages, peut-on enchaîner les plaquettes en cas d'oubli de dernière semaine? et si on enchaîne, c'est seulement les comprimés de la dernière couleur ou toute la plaquette?"
131,"vaccin curatif rage, toujours en danger?"
132,tanganil megamag effets secondaires?
133,comt prendre cerazette 1ere fois ?
134,De quoi est composé le doliprane ?
135,A quoi sert le stablon ?
136,qui connait le rhophylac?
137,Quels sont les signes de surdosage en Mysoline?
138,rotarix et effets secondaires??..
139,est ce que le vaccin contre a méningite peut déclencher des maladies inflammatoires auto immunes ?
140,bonjour! je prends diane depuis 3ans et elle est très bien pour moi.mais je voudrais l'arreter et en prendre une qui ne soit qu'une contraception.quelles sont les autres pilules qui ne sont pas néfastes pour la peu mais toutefois qui sont uniquement contraceptives? merci bocou!!
141,"des hauts et des bas.. avec norset, c'est normal ?"
142,quelle est la durée de validité du vaccin contre la fièvre jaune ?
143,euphytose : médicament ou placebo?
144,"vaccin dtp, enfin disponible??"
145,"je n'ai plus de règles, est-ce à cause de la pillule melodia que j'ai pris depuis 6 mois?"
146,PAS DE QUESTION SUR UN MEDICAMENT
147,a quoi sert le chamomilla vulgaris?
148,duphaston et grossesse?
149,phosphorus 9ch et gelsemium 9ch ca sert a quoi?
150,est-ce que jasminelle c'est la meme pillule que yasminelle ?
151,patch climara? Comment l'utiliser ?
152,Une pharmacienne appelle car elle souhaiterai savoir pourquoi il existe deux DCI d'Ibuprofène disponibles (Ibuprofène Teva 400mg et Ibuprofène Teva Santé 400mg) et pourquoi il y a une différence de prix entre les deux
153,Quelle est la classe thérapeutique du seropram ?
154,quel est le demie vie de l'adalimumab
155,"bonjour!! bonjour!!  voila j'utilise depuis peu la pilule (21jours+arrêt 7jours).. svp j'aurrais aimée savoir ce qu'il faut faire lorsqu'il y a apparition des règles durant les sept jours d'arrêts?? -débuté la seconde plaquette,  ou -attendre le 29e jours pour le faire       là je suis complètement perdu.. car je pensais que mes menstruations seraient venu après les 7jours.. merci.."
156,avec lisanxia n'y a t il pas trop de problème de sevrage ?
157,"jaimerais vous demander si le tercian,abilify,sulfarlem et seroplex donne un mal de bras??"
158,Peut- on donner de l'omeprazole à un chat sous corticoïdes ?
159,"1 mois de microval et effets secondaire,,"
160,je prends chaque matin 3 mg de lexomil - quels sont les effets secondaires?
161,qu'est ce que la surgestone?
162,Clomid est il risqué en cas de fibrome ?
163,quel est le vaccin contre la méningite ??
164,Est-il normal d'avoir des vomissement en prennant ixel ?
165,qui connait le guronsan?
166,Qu'est-ce que le gallicum acidum ?
167,"je suis sous effexor 37,5. ce week end, j'ai bu beaucoup 5 ou 6 verres de whisky. au bout du 5e ou 6e, j'ai commencé à me sentir très mal. pensez vous que c'est l'effexor qui a fait cet effet ?"
168,info sur triafemi?
169,Je suis enceinte oflocet 200 est il déconseillé ?
170,une solution contre les réveils nocturnes ?
171,ludéal - 3h ou 12h de marge ?
172,"bonjour, je suis actuellemnt sous seroplex 5mg. je suis ateinte d'une agoraphobie assez severe ainsi que d'un trouble panique avec depersonalisation.je suis mon traitement depuis plus d'un mois et aucunes ameliorations toujours aussi paniqué de m'eloigner de mon domicile..et quand je suis a mon domicile c'est pas mieux peur panique d'être seule,peur de la nuit qui tombe etc.. je vis un enfer.mon generaliste m'a dis d'augumenter le seroplex à 10mg mais ca me fais peur.. qu'en pensez vous?"
173,"Est-ce que la prise de gélules d'harpagophytum peut causer une augmentation importante du diabète du patient, et si oui pourquoi ?"
174,Peut on proposer Irbesartan pendant grossesse ?
175,pdt combien de temps les effets secondaires.à l'arrêt du deroxat?
176,cycléane et mycose ??
177,combien de temps dure l'effet de xénical?
178,Qu'est ce que tricilest ?
179,Comparaison Relpax / Imigrane
180,"après 1 mois et demi de seropram (citalopram son generique) sans effet sur moi, ma psy m'a prescrit hier seroplex. qq'un peut il témoigner à propos de son action?"
181,Les antibiotiques provoquent-ils des remontées gastriques ?
182,"Silicea complexe, puis-je en prendre pendant ma grossesse ?"
183,Y a-t-il une version générique de cycléane 30 ?
184,Quels est le vaccin contre le cancer du col de l'utérus ?
185,"je dois prendre solupred ( cortisone) pour un kyste dans le poignet mais le docteur a bien dit : ""pas de sel et ni de sucre"" le moins possible. pourquoi cela ?"
186,La sertaline joue-t-elle sur la libido ?
187,je dois me faire opérer la poitrine. Vaut-il mieux se prendre l'opium (30ch) la veille ou au réveil de l'anesthésie?
188,Est-ce que la pilule desobel gé20 donne des migraines ?
189,question sur abilify
190,En ce qui concerne la délivrance du tranxène 10 : si la posologie est de 2 par jour que fait-on?
191,"lévonorgestrel pris avant l'ovulation, jusqu'ou ça peut protèger?"
192,trimgel et depakote ?
193,"je prends mianserine + atarax le soir pour l'insomnie et je ressent l'effet inverse, est-ce normal ?"
194,effets de norlevo sur la grossesse??
195,Est-ce que je risque de tomber enceinte avec carlin 20 ?
196,spotof vous connaissez??
197,quel vaccin faire maintenant que le dtp n'est plus dispo ?
198,"argile, aloe veroa, à utiliser sur parties intimes ?"
199,générique de jasmine  ?
200,essence de marron d'inde..où en trouver?
201,le xanax en cause ?
202,clarithromycine = ampicilline ?
203,qu'elle est la différence de dosage d'hormone entre méliane et mirena ou implanon ?
204,est ce que ma dose de seropram n'est pas trop faible?
205,"J'ai souvent des prescriptions de Nebcine, Célestene, Gentamicine, Solumedrol, toutes sous formes injectables et prescrites ensemble en nébulisation (toutes sont hors AMM en voie aérosol), et cela n’a pas été testé d’après les laboratoires, que faire?"
206,Que faire si j'ai oublié daily gé un soir ?
207,"xeroquel contre l'anxiété, à faible dosage (25 mg)? quels en sont les effets secondaires ?"
208,"on m'a prescrit microval, est ce que cette pilule est effective dès la première prise ? qu'est ce que cela fait si je commence la plaquette alors que je n'ai pas encore mes regles ?"
209,"deroxat , reveille la nuit ?"
210,rispéridone chez l'adulte hyperactif?
211,Est ce que nous pouvons substituer les prescriptions de dexeryl et toplexil par le générique remboursé?
212,"bonjour, je suis sous séropram et atarax depuis 5 mois, je vais mieux concernant mes attaques de panique et angoisses mais parcontre j'ai du mal à dormir et surtout j'ai des crises de rires, partout dans la rue, chez moi j'ai l'impression de devenir débile ! je ris pour une rien meme toute seule devant l'écran de mon pc ! c les ad ?"
213,risperdal convient parfaitement contre les phobies. qu'en pensez-vous?
214,où mettez-vous le patch evra pour être sur qu'il ne se décolle pas ?
215,une question sur minesse ou sur une pilule mini dosée..  est-il possible que mes règles ne viennent pas sans que je sois pour autant enceinte ??
216,"je prenais de l'orgametil et maintenant je prends du surgestone. au changement pendant le premier mois, j'ai oublié de prendre une pilule, et je l'ai prise 12h après. ensuite j'ai eu des saignements pendant 10 jours, mais très légers et j'ai trouvé mes règles bizarre, j'ai fait un test de grossesse c'était négatifs. est-ce qu'il y a des chances que je sois enceinte ?"
217,xolair amm ? en france
218,la colpotrophine peut-elle empêcher la nidation de l'ovule dans l'endomètre ?
219,seropram avec un autre antidépresseur?
220,haldol a t il des effets secondaires?
221,baclofene est il anxyolitique  ?
222,Quelle alternative au méningitec en cas de rupture ?
223,j'ai tres mal a la tete j'ai donc pris un upfen d habitude je ne prends que du doliprane et apres l'avoir pris je me suis rendu compte que la date de peremption est 02/2006 je m inquiete un peu pensez que ce n'est pas grave ?
224,quels tisanes pour maigrir ?
225,xeplion haut risque de parkinsonisme?
226,"Un patient m’a demandé de l'alkylglycerol contenu dans de l'huile de foie de requin pour réguler son cholestérol, ne voulant plus prendre de statines, est ce qu’il a vraiment cette propriété ?"
227,enceintre et vogalib?
228,Est-ce bon de prendre des corticoïde quand on se fait vacciner ?
229,est-ce que le cialis generique a la meme composition que le cialis original ?
230,a celles qui utilisent trinordiol.. effets secondaires?
231,Traitement cystite simple en première intention ?
232,sterilet au cuivre et acné??
233,"visage bouffi, est ce que c'est à cause du lexomil ?"
234,Faut-il prendre l'amoxicilline pendant les repas pour limiter les effets indésirables ?
235,"j'utilise le patch evra et ça m'inquiete un peu, des fois j'ai des super-nausées et des maux de ventre, et je me demande vraiment si je suis enceinte ?"
236,comment les antidiabétiques diminuent-ils la glycémie?
237,"j'ai pris minesse pour la 1ere fois mais au bout de 15 jours, j'ai toujours mes règles!! cela veut dire que cette pilule ne me convient pas ou dois-je encore attendre 1 mois ou 2 avant de le savoir?"
238,diane 35 et ses génériques ??
239,androcur et pas de règles ?
240,Une profonde fatigue peut-elle être la cause de clamoxyl ?
241,"je vais prendre la pilule minesse et j'aimerais savoir si minesse stop les règles, ou nous les avons en ayant un flux moins abondant ? elle est tout de même efficace le 1er jour de règles ?"
242,je reprends varnoline et j'ai eu un oubli. pourriez vous m'aider si vous avez été dans une tel situation ?
243,"je dois prendre de l'amoxicilline 3x/jour. j'ai commencé le traitement hier soir à 23h-23h30, mais cette nuit, j'ai oublié de me réveiller et je l'ai donc pris à 10h...est-ce grave?"
244,ephedrine ?? Remboursée ?
245,Y-a-t'il un risque de grossesse pendant la semaine d'arrêt de diane 35 ?
246,Qu'est ce que lyrica ?
247,"Un traitement umatrope pour une fille de 21 mois, pouvez vous me dire a long terme si il y a des risques pour sa santé??"
248,Dois-je éviter certains aliments avec le kardefic? J'ai peur que l'efficacité varie
249,quel est la version non générique de l'escitalopram ?
250,les personnes qui ont eut a prendre de la norfloxacine ont eut des effets secondaires à part la photosensibilisation ?
251,Le L122 aide-t-il à bruler maigrir ?
252,"A quoi sert le médicament ""speciafoldine""?"
253,est ce qu'on doit arrêter le deroxat si on a envie d'un bébé?
254,"subutex, dependance o bout de combien de jours ?"
255,"j'ai eu quelques problèmes d'acné et je voulais savoir si en me faisant mettre un implant, je risquais de voir ces affreux boutons réapparaitrent ?"
256,Quel type de médicament est le seroplex?
257,"je suis sous cérazette depuis qq mois mnt, depuis 1 semaine environ j'ai des pertes blanches bcp plus abondantes que d'habitude, dois je m'inquieter ?"
258,Quel vaccin contre le cancer du col de l'uterus ?
259,existe-t-il un générique du médicament inexium 20 mg ??
260,"je prends melodia, mais le mois dernier, j'ai eu des saignements lors de la 2eme semaine de ma plaquette. ce mois ci ça recommence de plus belle et les saignements sont vraiment comme un petit debut de regle et plus important ! c'est du a quoi a votre avis?"
261,cialis disponible au québec??
262,Peut on utiliser la phytothérapie dans le traitement de l'insomnie ?
263,quand faire vaccin neisvac chez nourrisson ?
264,Quels sont les effets secondaires du prozac et effexor ?
265,abilify 5 mg ?? vous connaissez ?
266,"mon medecin m'a prescrit du xanax 0,50 et du stilnox. cependant j'ai l'impression que le stilnox (generique) commence a ne plus me faire effet. faudrait t'il que je lui demande plutot de l'imovane et quels sont les effets secondaires?"
267,gemzar + cisplatine ?
268,propranolol contre l'anxiete oui ou non ?
269,est-ce qu'il y en a qui ont déjà réussi à diminuer les doses de norset et à dormir normalement ?
270,Quel traitement homéopathique contre les crampes ?
271,de la méthadone pour remplacer le contramal ?
272,prevenar: pour quelle indication?+C438
273,Quel(s) est/sont le(s) risque(s) rencontré(s) si j'accouche avant  l'injection de rhophylac?
274,"je souffre d'urticaire solaire. un médecin m'a conseillé du calcium 1.00 mg. le problème c'est que je ne sais pas si je peux trouver ça en france est- ce que quelqu'un peut me dire s'il existe un médicament (même générique) de ce type, et si jamais il faut une ordonnance ?"
275,pilule du lendemain et cerazette ?
276,la gynéco m'a fais une piqure de gonadotrophine et depuis hier j'ai des douleurs dans le ventre! est ce que des personnes peuvent m'éclaircir un peu??
277,C quoi neisvac?
278,j'ai un épanchement de synovie apparu spontanément je suis allée voir une homéopathe qui m'a prescrit des comprimés de ribes nigrum folia mais c'est trop cher.  j'ai découvert que bryonia est indiqué dans les épanchements ainsi qu'apis mellifica. je pensais prendre bryonia en 5 ch.est-ce correct?
279,"le lyrica, quelqu'un connait??"
280,je souhaite avoir des avis sur les effets de l'implant.
281,Existe-t'il des intéractions entre le Maxalt et le Propranolol?
282,trinordiol sans ordonnance?
283,quelles sont les vaccins possibles durant un début de grossesse ?
284,alcool + antibiotiques ??
285,"J'ai de l'eczema suite à la prise d'extranaze, que dois-je faire ?"
286,Qui est sous lodoz ?
287,"ma gynéco m'a demandé de faire le vaccin boostrix (diphtérie, tétanos, cocqueluche) mais je suis enceinte de 27 semaines. je me pose donc la question si c'est dangereux pour mon futur bébé ?"
288,diu en cuive disponible au planning familiale ?
289,Est-ce que le bisoprolol cristers (bisoprolol hémifumarate) peut bien substituer le Cardensiel (Bisoprolol fumarate) ?
290,effet de l'ovule lomexin 600??
291,granions de cuivre sont ils reservés aux adultes ?
292,Advil entraine-t-il des crampes normalement ?
293,y a t-il un risque pour le bébé a naître de prendre oméprazole?
294,j'ai une boite de paracetamol qui expirait en 2006 est raisonnable de les consommé ou est ce dangereux ?
295,Les sage-femmes ont le droit de prescrire une pilule contraceptive: mais dans quelles conditions?
296,"Carrence en fer, quel traitement ?"
297,"si une mauvaise réaction ou si des complications suivent un vaccin contre l'hépatite b, combien de temps après l'injection cela arive t-il, du moins à partir de quand peut-on se dire qu'il n'y a pas de mauvaise réaction ou complication?"
298,"j'ai fais une erreur en utilisant nuvaring, après avoir mis mon 2ème anneau je l'ai retiré 1 semaine trop tôt et sans voir mon erreur en ai mis un autre tout de suite. entre temps j'ai eu des rapports à risques, est-ce qu'il y a donc un risque de grossesse ou est ce que ce risque est ecarté vu que un autre anneau a été inséré juste après ?"
299,sevrage seroplex très difficile?
300,Quel est le nombre limite de bas de compression délivrables en 1 an ?
301,le fenofibrate provoque-t-il une prise  de poids ?
302,"grossesse, magnesium autorisé ?"
303,le schéma vaccinal habituel est 2 - 3 - et 4 mois.  savez-vous quelle est la fourchette tolérée entre chaque dose ?
304,desolee de faire chiee mon monde dite moi es ce que cerazette peu faire avoir une eruption cutanee sur le corps apres 4 mois de prise j ai vue le dermato il me dit alergie a la lessive ou a un gel douche ou savon ou autre mais ca fais un mois que ca dure la creme ne fais rien ca gratte sur le corps ventre bras sous les seins entre les cuisse comme la roseole ca fais et ca gratte tu a une idee toi?? car la j en peu plus ce drole tout ca merci et encore desolee
305,"je prend la pilule (minidril) depuis un mois et depuis quasi le premier jour de prise mon moral n'est pas top, je pleure très souvent, et a d'autres moment je suis très heureuse. est ce que mes symptomes peuvent etre dus a la pilule?"
306,help! dépendance ixprim?
307,Une préparatrice en pharmacie nous demande quelle est la quantité de lactose contenue dans le Letrozole EG
308,carence en fer que faire ?
309,veratran et apnee du someil ?
310,Qu'est-ce qu'orgastoro ?
311,"je viens de lire la notice, qui dit que je dois prendre yaz après la fin de ma pilule holygième alors que la gynéco m'a dit de la prendre le 1er jour de mes règles.  alors quand dois-je la prendre ??"
312,exomuc déremboursé ?
313,"mon médecin me prescrit du depakote, mais il parait que ce médicament peut faire grossir.. ceux qui en prenne, est ce que vous avez grossi ?"
314,depuis que j'ai pris la pillule jasminelle y a quelques mois j'avais des petites taches de sang ou marron sans gravité. aujourd'hui j'ai des saignements comme le début des règles assez léger. je ne sais pas ce qu'il faut que je fasse.
315,qu'y a-t-il dans le vaccin priorix ?
316,est ce que le tranxene augmente l'appétit et donne envi de manger ?
317,vaccin bcg à mon fils de 1 mois?
